city,country,category,price,url
Ponta Delgada,Portugal,"Adventure, Culture, Romance",74€,https://www.flytap.com/en-pt/destinations/portugal/ponta-delgada
Porto,Portugal,"Culture, Gastronomy, Nightlife, Romance",45€,https://www.flytap.com/en-pt/destinations/portugal/porto
Porto Santo,Portugal,"Adventure, Beach, Romance",131€,https://www.flytap.com/en-pt/destinations/portugal/porto-santo
Prague,Czech Republic,"Culture, Gastronomy, Romance, Shopping",209€,https://www.flytap.com/en-pt/destinations/czech-republic/prague
Rome,Italy,"Culture, Gastronomy, Romance, Shopping",50€,https://www.flytap.com/en-pt/destinations/italy/rome
Seville,Spain,"Adventure, Family, Culture",87€,https://www.flytap.com/en-pt/destinations/spain/seville
Stockholm,Sweden,"Adventure, Family, Culture",84€,https://www.flytap.com/en-pt/destinations/sweden/stockholm
Tel Aviv,Israel,"Adventure, Beach, Nature",183€,https://www.flytap.com/en-pt/destinations/israel/tel-aviv
Tenerife,Spain,"Adventure, Beach",59€,https://www.flytap.com/en-pt/destinations/spain/tenerife
Terceira,Portugal,"Beach, Nature",40€,https://www.flytap.com/en-pt/destinations/portugal/terceira
Toulouse,France,"Culture, Gastronomy",49€,https://www.flytap.com/en-pt/destinations/france/toulouse
Valencia,Spain,"Culture, Gastronomy, Nature",50€,https://www.flytap.com/en-pt/destinations/spain/valencia
Venice,Italy,"Culture, Gastronomy, Romance",98€,https://www.flytap.com/en-pt/destinations/italy/venice
Vienna,Austria,"Family, Culture, Romance",50€,https://www.flytap.com/en-pt/destinations/austria/vienna
Warsaw,Poland,"Family, Culture, Gastronomy",84€,https://www.flytap.com/en-pt/destinations/poland/warsaw
Zagreb,Croatia,"Culture, Gastronomy, Nightlife, Romance",Not Available,https://www.flytap.com/en-pt/destinations/croatia/zagreb
Zurich,Switzerland,"Culture, Gastronomy, Shopping",58€,https://www.flytap.com/en-pt/destinations/switzerland/zurich
